Date,Open,High,Low,Close,Adj Close,Volume
2009-03-26,111.25,111.25,111.25,111.25,105.45703125,1
2009-04-01,116.8499984741211,116.8499984741211,116.8499984741211,116.8499984741211,110.76543426513672,2
2009-04-06,114.05000305175781,116.05000305175781,114.05000305175781,116.0,109.9596939086914,302
2009-04-08,118.0,120.0,115.25,120.0,113.75141143798828,520
2009-04-09,115.0,115.05000305175781,115.0,115.05000305175781,109.05915832519531,29
2009-04-13,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,113.6566162109375,18
2009-04-15,119.9000015258789,125.9000015258789,117.0,125.9000015258789,119.34419250488281,106
2009-04-16,125.9000015258789,126.0,125.0,125.55000305175781,119.01242065429688,118
2009-04-17,125.9000015258789,127.25,125.9000015258789,126.30000305175781,119.7233657836914,125
2009-04-20,127.5,127.5,125.9000015258789,125.9000015258789,119.34419250488281,244
2009-04-21,125.94999694824219,125.94999694824219,125.94999694824219,125.94999694824219,119.3915786743164,1
2009-04-22,127.0,127.94999694824219,127.0,127.0,120.38690185546875,32
2009-04-23,127.0,127.0,127.0,127.0,120.38690185546875,5
2009-04-24,127.0,133.35000610351562,127.0,133.35000610351562,126.40625762939453,31
2009-04-27,127.0,133.5,127.0,127.5,120.86087036132812,218
2009-04-28,127.0,133.89999389648438,125.9000015258789,125.9000015258789,119.34419250488281,524
2009-04-29,131.9499969482422,132.0,131.9499969482422,132.0,125.12654876708984,100
2009-04-30,132.0,132.0,132.0,132.0,125.12654876708984,0
2009-05-04,130.0,130.0,130.0,130.0,123.23069763183594,100
2009-05-05,136.35000610351562,136.35000610351562,136.35000610351562,136.35000610351562,129.25003051757812,177
2009-05-06,143.14999389648438,143.14999389648438,143.14999389648438,143.14999389648438,135.69595336914062,5
2009-05-07,150.0,150.0,136.0,136.0,128.91830444335938,54
2009-05-08,136.0500030517578,136.0500030517578,136.0500030517578,136.0500030517578,128.96566772460938,20
2009-05-11,139.0,142.75,130.5500030517578,130.5500030517578,123.7520523071289,26
2009-05-12,129.0500030517578,137.10000610351562,129.0500030517578,137.10000610351562,129.96099853515625,37
2009-05-13,139.0,139.0,133.25,133.25,126.31146240234375,51
2009-05-14,137.0,137.0,129.64999389648438,132.0,125.12654876708984,25
2009-05-18,132.0,132.0,132.0,132.0,125.12654876708984,0
2009-05-19,138.60000610351562,138.60000610351562,138.60000610351562,138.60000610351562,131.38287353515625,38
2009-05-20,138.6999969482422,145.5,138.6999969482422,145.5,137.923583984375,100
2009-05-22,152.8000030517578,152.8000030517578,152.8000030517578,152.8000030517578,144.8434600830078,10
2009-05-27,155.0,155.0,152.8000030517578,152.8000030517578,144.8434600830078,504
2009-05-28,155.0,159.89999389648438,151.0500030517578,154.9499969482422,146.88153076171875,2036
2009-05-29,154.0,162.5,154.0,159.1999969482422,150.91021728515625,1119
2009-06-01,167.1999969482422,167.1999969482422,167.0,167.0,158.30406188964844,329
2009-06-02,163.0,163.0,163.0,163.0,154.5123291015625,10
2009-06-03,170.0,171.14999389648438,169.0,171.14999389648438,162.23794555664062,389
2009-06-04,168.0500030517578,179.5,168.0500030517578,174.4499969482422,165.36611938476562,141
2009-06-05,180.0,183.10000610351562,170.14999389648438,173.14999389648438,164.13381958007812,647
2009-06-08,173.14999389648438,173.14999389648438,173.14999389648438,173.14999389648438,164.13381958007812,0
2009-06-09,170.0,180.9499969482422,170.0,177.85000610351562,168.58908081054688,56
2009-06-10,170.0,186.75,170.0,185.0,175.36672973632812,22500
2009-06-11,186.0,186.0,177.0,177.89999389648438,168.63644409179688,134
2009-06-12,171.35000610351562,184.89999389648438,171.35000610351562,171.5500030517578,162.61712646484375,200
2009-06-15,172.0,172.0,172.0,172.0,163.04368591308594,15
2009-06-16,172.0,180.60000610351562,172.0,180.60000610351562,171.1958770751953,1900
2009-06-17,172.0500030517578,184.89999389648438,172.0500030517578,175.0500030517578,165.93487548828125,200
2009-06-18,177.0,180.0,170.0500030517578,178.9499969482422,169.63172912597656,586
2009-06-19,180.0,180.0,175.0,176.0,166.8354034423828,295
2009-06-22,175.0,179.0,175.0,179.0,169.67916870117188,165
2009-06-23,174.0500030517578,184.89999389648438,174.0500030517578,181.0,171.57505798339844,400
2009-06-24,181.5,181.5,180.0,180.0,170.62710571289062,150
2009-06-25,185.60000610351562,189.0,182.0,187.10000610351562,177.357421875,17534
2009-06-26,182.25,193.25,182.25,185.8000030517578,176.1251220703125,102
2009-06-29,181.0,193.6999969482422,181.0,190.6999969482422,180.76995849609375,1377
2009-06-30,185.0,185.0,185.0,185.0,175.36672973632812,25
2009-07-01,185.0,185.0,185.0,185.0,175.36672973632812,0
2009-07-02,178.0,180.0,178.0,180.0,170.62710571289062,40
2009-07-03,186.9499969482422,186.9499969482422,185.0,185.0,175.36672973632812,25
2009-07-06,176.0500030517578,180.0,176.0,177.5,168.25729370117188,62
2009-07-07,177.5,177.5,177.5,177.5,168.25729370117188,0
2009-07-08,177.5,177.5,177.5,177.5,168.25729370117188,0
2009-07-09,179.5,179.5,170.10000610351562,175.0,167.77792358398438,440
2009-07-10,166.0,166.0,166.0,166.0,159.1493377685547,5
2009-07-13,150.4499969482422,162.0500030517578,150.4499969482422,162.0,155.31442260742188,81
2009-07-14,162.0,162.0,162.0,162.0,155.31442260742188,0
2009-07-15,177.5,177.5,165.0,165.0,158.1906280517578,250
2009-07-16,170.0,170.0,170.0,170.0,162.98426818847656,400
2009-07-17,179.4499969482422,180.0,179.4499969482422,179.75,172.33192443847656,167
2009-07-20,179.0,186.0,172.0,185.0,177.36521911621094,1292
2009-07-21,175.0,190.0,170.0,185.14999389648438,177.509033203125,900
2009-07-22,188.0,189.0,185.0,185.0,177.36521911621094,6000
2009-07-23,180.25,195.6999969482422,180.0,188.5500030517578,180.76873779296875,1160
2009-07-24,203.5,203.5,184.1999969482422,184.1999969482422,176.59825134277344,60
2009-07-27,200.85000610351562,200.85000610351562,195.0,200.0,191.7462158203125,213
2009-07-28,199.10000610351562,200.0,182.0,195.0,186.9525604248047,354
2009-07-29,210.5,210.5,190.0,195.0500030517578,187.00050354003906,259
2009-07-30,191.5500030517578,191.5500030517578,191.5500030517578,191.5500030517578,183.64491271972656,5
2009-07-31,207.35000610351562,207.35000610351562,195.5500030517578,205.0500030517578,196.58779907226562,774
2009-08-03,200.14999389648438,201.0,200.14999389648438,201.0,192.70494079589844,75
2009-08-04,201.0,201.0,201.0,201.0,192.70494079589844,0
2009-08-05,201.0,201.0,201.0,201.0,192.70494079589844,0
2009-08-06,209.0,209.0,200.0,201.25,192.94464111328125,73
2009-08-07,200.14999389648438,200.14999389648438,200.10000610351562,200.10000610351562,191.8420867919922,30
2009-08-10,200.5,200.5,200.0,200.0,191.7462158203125,100
2009-08-11,216.0,216.0,200.0,200.0,191.7462158203125,112
2009-08-12,200.0,201.0,200.0,200.0,191.7462158203125,1000
2009-08-13,195.0,195.0,195.0,195.0,186.9525604248047,60
2009-08-14,197.0,210.0,195.0,204.14999389648438,195.72494506835938,105
2009-08-17,203.0,203.0,192.0,194.0,185.99380493164062,40
2009-08-18,185.0,210.0,185.0,193.0,185.0351104736328,136
2009-08-19,190.10000610351562,205.0,190.10000610351562,196.0,187.9112548828125,535
2009-08-20,212.1999969482422,212.1999969482422,196.1999969482422,200.0,191.7462158203125,3935
2009-08-21,210.0,210.0,198.0,198.0,189.82875061035156,40
2009-08-24,212.0,212.0,198.0,203.25,194.86207580566406,603
