Date,Open,High,Low,Close,Adj Close,Volume,%delivery,Share Delivery,52_Week_High,52_Week_Low,Basic EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),P/E,P/B (price to book ratio),FII,DII,%Delivery,Delivery_Volume,Traded_Volume
10-11-2021,3498,3519.699951,3480.199951,3484.300049,3335.145508,1516489,0.072118484,1093.668877,3989.899902,2879,82.78,91.93,202.15,38,37.90166484,17.23621098,14.98,7.93,63%,955.9,1516.49
11-11-2021,3480,3510.050049,3436,3488.199951,3338.878662,1284514,0.06108663,784.6663139,3989.899902,2879,82.78,91.93,202.15,38,37.94408736,17.2555031,14.98,7.93,47.80%,614.58,1284.51
12-11-2021,3506,3534.149902,3485.699951,3526.050049,3375.108643,1747259,0.083093033,1451.850494,3989.899902,2879,82.78,91.93,202.15,38,38.35581474,17.44274078,14.98,7.93,62.20%,1086,1747.26
15-11-2021,3528,3569.600098,3528,3553.300049,3401.192139,1809157,0.086036668,1556.538396,3989.899902,2879,82.78,91.93,202.15,38,38.65223593,17.57754167,14.98,7.93,61%,1104.17,1809.16
16-11-2021,3569,3575.550049,3542,3556.399902,3404.15918,2013204,0.095740372,1927.448992,3989.899902,2879,82.78,91.93,202.15,38,38.68595564,17.59287609,14.98,7.93,68.10%,1371.66,2013.2
17-11-2021,3550.600098,3562.850098,3506.399902,3521.899902,3371.135742,1632914,0.077655217,1268.042908,3989.899902,2879,82.78,91.93,202.15,38,38.3106701,17.42221075,14.98,7.93,63.30%,1033.84,1632.91
18-11-2021,3515.149902,3520.850098,3451.600098,3475.699951,3326.913818,2136598,0.101608524,2170.965688,3989.899902,2879,82.78,91.93,202.15,38,37.80811434,17.19366783,14.98,7.93,64%,1367.52,2136.6
22-11-2021,3478.399902,3515.949951,3440.300049,3458.399902,3310.354248,3167936,0.15065506,4772.655892,3989.899902,2879,82.78,91.93,202.15,38,37.61992714,17.10808757,14.98,7.93,67.70%,2146.22,3167.94
23-11-2021,3445,3480.949951,3407.800049,3464.25,3315.953857,2153461,0.102410464,2205.36941,3989.899902,2879,82.78,91.93,202.15,38,37.68356358,17.13702696,14.98,7.93,67.30%,1449.79,2153.46
24-11-2021,3472.199951,3493.050049,3424,3443.300049,3295.900879,2161746,0.102804468,2222.371467,3989.899902,2879,82.78,91.93,202.15,38,37.45567333,17.03339129,14.98,7.93,75.90%,1640.32,2161.75
25-11-2021,3443.899902,3463,3434.050049,3445.899902,3298.389648,1849619,0.087960887,1626.941287,3989.899902,2879,82.78,91.93,202.15,38,37.48395412,17.0462523,14.98,7.93,70%,1294.56,1849.62
26-11-2021,3425,3490,3411.899902,3446.850098,3299.298828,1941251,0.092318559,1792.13495,3989.899902,2879,82.78,91.93,202.15,38,37.4942902,17.05095275,14.98,7.93,59.40%,1152.93,1941.25
29-11-2021,3447.149902,3529.350098,3406.449951,3502,3352.087891,2981745,0.14180052,4228.129922,3989.899902,2879,82.78,91.93,202.15,38,38.09420211,17.32376948,14.98,7.93,55.30%,1648.72,2981.74
30-11-2021,3491,3563.75,3491,3529.149902,3378.075684,5588446,0.265765366,14852.15394,3989.899902,2879,82.78,91.93,202.15,38,38.38953445,17.4580752,14.98,7.93,68.90%,3849.8,5588.45
01-12-2021,3535,3590,3535,3577.800049,3424.643311,2102118,0.099968785,2101.461832,3989.899902,2879,82.78,91.93,202.15,38,38.91874305,17.6987388,14.98,7.93,62.40%,1311.47,2102.12
02-12-2021,3589.199951,3648,3574.100098,3642.899902,3486.956055,3152938,0.149941812,4727.572373,3989.899902,2879,82.78,91.93,202.15,38,39.62688896,18.02077617,14.98,7.93,70%,2208.11,3152.94
03-12-2021,3646.449951,3665.949951,3630.850098,3640.449951,3484.611572,2486263,0.118237269,2939.689481,3989.899902,2879,82.78,91.93,202.15,38,39.60023878,18.0086567,14.98,7.93,76.60%,1904.71,2486.26
06-12-2021,3640.449951,3658,3522,3536.399902,3385.015381,1849642,0.087961981,1626.981749,3989.899902,2879,82.78,91.93,202.15,38,38.46839881,17.49393966,14.98,7.93,56.80%,1050.3,1849.64
07-12-2021,3562.5,3598,3524.300049,3584.5,3431.056641,1484458,0.070595211,1047.956253,3989.899902,2879,82.78,91.93,202.15,38,38.99162406,17.73188227,14.98,7.93,54.70%,812.62,1484.46
08-12-2021,3601,3646.449951,3601,3626.899902,3471.641113,1428660,0.067941669,970.6554454,3989.899902,2879,82.78,91.93,202.15,38,39.45284349,17.94162702,14.98,7.93,57.90%,826.62,1428.66
09-12-2021,3610,3634.75,3566,3601.75,3447.567871,1567957,0.074566108,1169.164503,3989.899902,2879,82.78,91.93,202.15,38,39.17926683,17.81721494,14.98,7.93,56.80%,890.95,1567.96
10-12-2021,3585,3642,3575.100098,3636.800049,3481.117676,1510718,0.071844037,1085.3608,3989.899902,2879,82.78,91.93,202.15,38,39.56053572,17.99060128,14.98,7.93,55.20%,833.4,1510.72
13-12-2021,3650,3662,3601.699951,3609.649902,3455.129883,1883864,0.08958945,1687.7434,3989.899902,2879,82.78,91.93,202.15,38,39.26520072,17.85629435,14.98,7.93,70.60%,1329.79,1883.86
14-12-2021,3605,3635,3576.699951,3623.800049,3468.673584,1747007,0.083081049,1451.431736,3989.899902,2879,82.78,91.93,202.15,38,39.41912378,17.9262926,14.98,7.93,69.70%,1216.83,1747.01
15-12-2021,3620,3623,3558.149902,3570.350098,3417.511963,1603233,0.076243701,1222.364171,3989.899902,2879,82.78,91.93,202.15,38,38.83770366,17.66188522,14.98,7.93,71.20%,1141.89,1603.23
16-12-2021,3582,3608.449951,3570,3581.600098,3428.280762,2072320,0.098551705,2042.306696,3989.899902,2879,82.78,91.93,202.15,38,38.96007938,17.71753697,14.98,7.93,75.30%,1560.83,2072.32
17-12-2021,3602.5,3651.350098,3573.699951,3584.350098,3430.912598,4333992,0.206108276,8932.716176,3989.899902,2879,82.78,91.93,202.15,38,38.98999345,17.73114073,14.98,7.93,61.80%,2677.22,4333.99
20-12-2021,3589,3606,3510.149902,3556.899902,3404.637695,2312310,0.109964722,2542.72527,3989.899902,2879,82.78,91.93,202.15,38,38.69139456,17.5953495,14.98,7.93,53.80%,1243.44,2312.31
21-12-2021,3582.649902,3641.199951,3566.399902,3608.300049,3453.837646,2340989,0.111328587,2606.189979,3989.899902,2879,82.78,91.93,202.15,38,39.25051723,17.84961686,14.98,7.93,62.80%,1470.83,2340.99
22-12-2021,3624,3636.800049,3606.25,3630.75,3475.32666,1224328,0.058224411,712.8577706,3989.899902,2879,82.78,91.93,202.15,38,39.49472425,17.96067277,14.98,7.93,61.70%,755.18,1224.33
23-12-2021,3648,3670.5,3630,3662.699951,3505.908691,1792861,0.085261692,1528.623616,3989.899902,2879,82.78,91.93,202.15,38,39.84227076,18.11872348,14.98,7.93,61.80%,1107.61,1792.86
24-12-2021,3685,3705,3644.800049,3670.899902,3513.757813,2209923,0.105095584,2322.531475,3989.899902,2879,82.78,91.93,202.15,38,39.93146853,18.15928717,14.98,7.93,52.30%,1156.09,2209.92
27-12-2021,3671,3700,3653.100098,3696.100098,3537.87915,1534135,0.072957661,1119.269014,3989.899902,2879,82.78,91.93,202.15,38,40.20559227,18.28394805,14.98,7.93,56.50%,866.79,1534.13
28-12-2021,3710,3725,3693.850098,3706.550049,3547.881836,1456218,0.069252223,1008.463338,3989.899902,2879,82.78,91.93,202.15,38,40.31926519,18.33564209,14.98,7.93,63%,917.9,1456.22
29-12-2021,3692.25,3719.949951,3685,3694.699951,3536.538818,1456923,0.06928575,1009.440031,3989.899902,2879,82.78,91.93,202.15,38,40.1903617,18.27702177,14.98,7.93,74.90%,1091.32,1456.92
30-12-2021,3681.350098,3740,3680,3733.75,3573.91748,1966475,0.093518117,1839.010393,3989.899902,2879,82.78,91.93,202.15,38,40.61514196,18.4701954,14.98,7.93,65.90%,1296.16,1966.47
31-12-2021,3742.800049,3760,3731.300049,3738.350098,3578.320801,1207141,0.057407063,692.9841892,3989.899902,2879,82.78,91.93,202.15,38,40.66518109,18.49295126,14.98,7.93,60.30%,727.62,1207.14
03-01-2022,3750,3830,3745,3817.75,3654.321289,2346158,0.111574405,2617.711834,4043,2926.100098,103.24,113.96,210.86,43,33.50078975,18.1056151,14.15,7.81,61.10%,1433.21,2346.16
04-01-2022,3831.100098,3889.149902,3811.699951,3884.75,3718.453857,2488606,0.118348694,2945.23269,4043,2926.100098,103.24,113.96,210.86,43,34.08871534,18.42336147,14.15,7.81,61.80%,1539.13,2488.61
05-01-2022,3865,3870,3812.399902,3860.949951,3695.672363,1733031,0.082416403,1428.301812,4043,2926.100098,103.24,113.96,210.86,43,33.8798697,18.31049014,14.15,7.81,57%,988.28,1733.03
06-01-2022,3812,3835,3772,3807.449951,3644.462402,1810293,0.086090692,1558.493763,4043,2926.100098,103.24,113.96,210.86,43,33.41040673,18.05676729,14.15,7.81,55%,995.33,1810.29
07-01-2022,3820,3864.899902,3796.399902,3853.5,3688.54126,2460591,0.117016406,2879.295157,4043,2926.100098,103.24,113.96,210.86,43,33.81449631,18.27515887,14.15,7.81,61%,1501.62,2460.59
10-01-2022,3978,3978,3861,3879.850098,3713.763428,3937092,0.187233212,7371.543812,4043,2926.100098,103.24,113.96,210.86,43,34.04571865,18.40012377,14.15,7.81,42.90%,1687.82,3937.09
11-01-2022,3856,3925,3856,3915.899902,3748.269775,1906106,0.090647196,1727.831635,4043,2926.100098,103.24,113.96,210.86,43,34.36205601,18.57108936,14.15,7.81,55.30%,1054.45,1906.11
12-01-2022,3925,3929,3836.550049,3859.899902,3694.667236,3203744,0.152357953,4881.158792,4043,2926.100098,103.24,113.96,210.86,43,33.87065551,18.3055103,14.15,7.81,58.30%,1866.56,3203.74
